designation,source_id,ra,dec,parallax,parallax_error,parallax_over_error,pmra,pmra_error,pmdec,pmdec_error,phot_g_mean_flux,phot_g_mean_flux_error,phot_g_mean_mag,phot_bp_mean_flux,phot_bp_mean_flux_error,phot_bp_mean_mag,phot_rp_mean_flux,phot_rp_mean_flux_error,phot_rp_mean_mag,bp_rp
Gaia EDR3 413875418150320640,413875418150320640,19.80233843050305,58.26269361998101,0.3642281603659473,0.2387534,1.5255413,-0.12414384815457749,0.19544086,0.3430775612678483,0.22791542,355.69418535834,0.57629585,19.309675,141.4572602610339,4.5739355,19.961979,278.9662453619738,4.8560815,18.634016,1.3279629
Gaia EDR3 413875418150340352,413875418150340352,19.802513323144147,58.2690188050141,0.16633091709061026,0.20572099,0.8085267,-1.162287237025778,0.17852902,1.0493366823653905,0.20841634,413.9519106258068,0.5989855,19.144993,154.09986794227885,4.8186126,19.869036,332.7532116032454,4.605373,18.44259,1.426445
Gaia EDR3 413875418150340480,413875418150340480,19.80017932741366,58.265703404602796,0.48308672063960967,0.26730883,1.8072232,-1.0035550971512073,0.2221705,-0.27242624661602854,0.2532075,313.97042184633614,0.57590026,19.445145,151.43094943546916,6.3269033,19.888006,248.63462536739516,5.3172007,18.758991,1.129015
Gaia EDR3 413875418151430272,413875418151430272,19.793729013018496,58.2731270018216,0.5171925762603261,0.39301962,1.315946,-1.2038256970874057,0.31812885,0.22356746491190752,0.3560204,201.79854548147864,0.51377016,19.925072,79.98311123026777,4.3079805,20.581047,197.17356405137144,4.841842,19.010775,1.5702724
Gaia EDR3 413875418153502976,413875418153502976,19.798803283077042,58.26122821600175,2.0917479676161705,0.041573435,50.314533,1.1437321876174615,0.030863754,0.7717805695931397,0.038443252,5495.623194345979,1.7529664,16.337324,1630.0153631125474,5.9140472,17.308064,5737.929327597908,7.6361485,15.351007,1.957056
Gaia EDR3 413875422452104192,413875422452104192,19.797878199147394,58.267305553528146,0.9821439364447249,0.10617863,9.249921,2.706231071995424,0.08188164,-4.006670539353365,0.10329645,1407.2015971578558,3.5456088,17.816477,1071.462487897421,40.631084,17.7636,1930.0030271446042,26.432024,16.534,1.229599
Gaia EDR3 413875422452130816,413875422452130816,19.800854137824317,58.25984993830572,0.22607799474815993,0.06182786,3.6565714,-1.692953179998696,0.039396144,-0.6039684017694127,0.061152074,34395.412841333724,121.94629,14.346115,38756.09449794755,824.1031,13.867692,56737.15717765477,85.60015,12.863227,1.0044651
Gaia EDR3 413875422452467968,413875422452467968,19.796152985158226,58.275416238834715,0.5101216320388419,0.52341324,0.974606,-1.7685814870154213,0.41112095,-0.4815613751624236,0.5178926,154.8490518722451,0.48638073,20.212595,49.37562977333815,4.040641,21.104761,169.46105585655846,4.5124145,19.17522,1.9295406
Gaia EDR3 413875422452468992,413875422452468992,19.796670523582485,58.27355570222944,0.13489166803173172,0.8480951,0.15905252,-2.368312172134484,0.7550119,0.02590320226875691,0.88563055,101.89758459045522,0.5959006,20.666958,37.421745690250134,5.139754,21.405731,101.96424592074118,4.5721884,19.726776,1.6789551
Gaia EDR3 413875422457465984,413875422457465984,19.79552902529178,58.277049599552434,1.6813398656921728,0.31255257,5.3793826,-0.12043241507814262,0.21588212,-2.3746258410689634,0.29464346,1143.594643256451,2.3481383,18.041687,499.7924736820229,4.579432,18.591568,1008.4329541210135,4.732518,17.238777,1.3527908
