designation,source_id,ra,dec,parallax,parallax_error,parallax_over_error,pmra,pmra_error,pmdec,pmdec_error,phot_g_mean_flux,phot_g_mean_flux_error,phot_g_mean_mag,phot_bp_mean_flux,phot_bp_mean_flux_error,phot_bp_mean_mag,phot_rp_mean_flux,phot_rp_mean_flux_error,phot_rp_mean_mag,bp_rp
Gaia EDR3 5940953421345734528,5940953421345734528,250.30743062094058,-48.77773775731726,0.9215072657685364,0.06267689,14.702504,0.9310609904077826,0.07393622,-3.9792715210730174,0.050783362,5144.982970740972,8.594318,16.408907,1158.6484705328185,15.230991,17.678663,6306.213425973799,38.54109,15.248474,2.4301891
Gaia EDR3 5940953421345735808,5940953421345735808,250.3058238452597,-48.776979484763324,0.7165435501772044,0.06800796,10.536172,1.5837477620582878,0.07770182,-4.112043947684181,0.052562863,4043.0461561345674,7.8634,16.670595,1146.6555365737827,14.175391,17.68996,4445.186211393405,24.555395,15.628171,2.0617895
Gaia EDR3 5940953421345739520,5940953421345739520,250.30929733276713,-48.772556293243404,0.06798100834854595,0.42320156,0.16063507,-2.1515405452772236,0.6921774,-2.9557307754930737,0.3970281,410.83566526601044,1.1196024,19.153196,60.45628399130542,7.032714,20.88494,464.5659336721659,10.398392,18.080276,2.8046627
Gaia EDR3 5940953421345740672,5940953421345740672,250.31411316293529,-48.76927886422981,1.099658717091821,0.17118168,6.4239273,1.241347155478632,0.26216388,-4.150113935397245,0.16101183,947.6547151325533,21.190954,18.24574,274.4475636767881,27.01781,19.242393,1266.8483298707863,80.53223,16.991083,2.2513103
Gaia EDR3 5940953421346258816,5940953421346258816,250.30657996543977,-48.76997756806984,0.7570184279050192,1.1133013,0.6799762,0.15636291314355122,1.4185923,-3.9816426307698185,0.9334222,127.48574362429463,0.84010947,20.423714,54.652235382222,18.205013,20.994522,172.4334371362169,8.534589,19.156342,1.8381805
Gaia EDR3 5940953421346289024,5940953421346289024,250.32369411349143,-48.7855560467732,1.206664113726069,1.4435385,0.8359071,-3.931587844384133,1.544999,-5.056913013342772,1.0838015,134.16135611717453,0.97387695,20.368298,,,,,,,
Gaia EDR3 5940953421350524416,5940953421350524416,250.31271634153092,-48.77589587057758,0.7581798868032485,0.37315363,2.031817,-6.448089755049454,0.52578473,-4.024223641149871,0.3416078,545.1807167412361,1.8271801,18.846016,173.93235170653898,7.6465054,19.73759,967.458171822516,7.8103566,17.283815,2.4537754
Gaia EDR3 5940953421350525568,5940953421350525568,250.30800813027497,-48.766510965024466,1.2538672220381952,0.53780377,2.3314586,-1.9672261405054146,0.60770804,-3.7999092145395537,0.39582574,196.12667462050905,0.70894057,19.956026,48.23961001165872,5.8813915,21.130033,267.417872071986,5.9426594,18.67992,2.4501133
Gaia EDR3 5940953451375841920,5940953451375841920,250.2877220177105,-48.768791032793104,1.2292274010472626,0.32266217,3.809642,1.3738090542155283,0.38945833,-3.603596111310768,0.25715354,405.1359704079046,1.1078159,19.168365,44.93378836451521,19.580412,21.20711,571.2579069225674,49.097378,17.855816,3.3512936
Gaia EDR3 5940953451375848448,5940953451375848448,250.29797559854,-48.77368641889467,0.8992012638108459,0.13475664,6.672779,1.323691674976489,0.15989745,-3.7166466561068208,0.10961479,1283.4086551231785,4.0209618,17.916454,272.39449880327714,7.249668,19.250546,1686.33768462294,17.262423,16.680534,2.5700111
Gaia EDR3 5940953451375849472,5940953451375849472,250.2997256501706,-48.776121048843365,0.733170994926144,0.44565424,1.6451566,1.468724740498596,0.778381,-4.300421010250404,0.45380673,387.96046018846494,1.085592,19.215399,52.189116561148126,9.72777,21.044592,619.9812945760951,14.384533,17.766949,3.2776432
Gaia EDR3 5940953455664650752,5940953455664650752,250.2975155765196,-48.782963507256746,0.012812121112256599,0.14203385,0.0902047,-3.8010439694134623,0.17323378,-4.602494124760402,0.10772783,1988.4149476663936,8.1529,17.4411,565.7369762422965,28.844519,18.457006,3257.4333260870926,56.966908,15.965707,2.4912996
Gaia EDR3 5940953455664656896,5940953455664656896,250.2982960823173,-48.78037141408099,0.5657709999618261,0.3177233,1.7807035,-6.619288017669318,0.39065188,-3.2731796741910286,0.25410187,593.9690211910372,1.2407497,18.752958,,,,,,,
Gaia EDR3 5940953455664669696,5940953455664669696,250.2938843602786,-48.781293417820734,0.29911640401500056,0.34423068,0.8689417,3.2880977660395514,0.4625418,-12.979003790788674,0.28130493,420.00016578189366,3.1349833,19.129244,158.8361947312014,15.192236,19.836168,728.1689008540533,26.296715,17.592316,2.2438526
Gaia EDR3 5940953455664682112,5940953455664682112,250.28780894091716,-48.78230651848452,0.9293117411747888,0.23096046,4.023683,-2.052936344996444,0.32926404,-2.023831860021833,0.2066349,839.986020625619,1.3513905,18.376686,267.1644364040523,11.849018,19.271595,968.840350892463,15.788134,17.282265,1.9893303
Gaia EDR3 5940953455664683904,5940953455664683904,250.297817802466,-48.77651152858429,0.3334076750489146,0.5829681,0.5719141,-4.263070664119797,1.1177262,-4.7665085481870495,0.66765136,240.8384564145096,1.1153383,19.733053,54.76293938515978,10.580041,20.992325,333.35931997172383,18.096443,18.440615,2.5517101
Gaia EDR3 5940953455664700928,5940953455664700928,250.29099719348682,-48.77761354001387,0.5363643815139267,0.27516577,1.9492409,-5.491698819526869,0.30261868,-4.40231803021571,0.19427688,505.4814258092511,0.97180444,18.928104,122.59818492876975,8.51395,20.117332,571.0552607774025,13.130271,17.8562,2.2611332
Gaia EDR3 5940953455664732160,5940953455664732160,250.2907220341274,-48.77336173563021,0.3141178903040993,0.8329913,0.37709624,-8.160975670280887,0.98897326,-5.832749471819811,0.62789375,138.09549331804595,0.69088256,20.336918,27.989659417330323,5.532036,21.721048,135.57789282362594,6.9563465,19.417423,2.303625
Gaia EDR3 5940953455664736000,5940953455664736000,250.29252026225404,-48.77139185248315,0.4512335220063467,0.3451897,1.3072045,-1.1034369875349745,0.40646142,-5.387776930379314,0.26595125,320.114610675369,0.8473226,19.424103,64.5129331100625,6.2343974,20.814425,355.06022018000715,9.4608345,18.37214,2.4422836
Gaia EDR3 5940953455664736384,5940953455664736384,250.29000904486554,-48.772444862614755,0.23279753057398028,0.48636502,0.47864777,-5.005402878485659,0.57580644,-4.40468844254223,0.38750428,216.7874872001122,0.7195482,19.84728,32.42083495837834,6.7641454,21.561481,256.7644639935468,23.510708,18.724058,2.8374233
Gaia EDR3 5940953455664739456,5940953455664739456,250.2873242277261,-48.772985458781214,0.6315005588982587,0.22547324,2.8007784,0.3574677280229068,0.30465582,-2.3189232836001334,0.20017567,591.8981486125651,1.0044137,18.75675,136.58715648495462,6.787445,20.000017,659.6801430957794,7.753029,17.699562,2.300455
Gaia EDR3 5940953455664740992,5940953455664740992,250.28398390254227,-48.77397730528392,0.10861767702902977,0.36631906,0.2965111,-3.1638913298108045,0.4094533,-5.940300483056554,0.27678764,329.380286469105,0.8934463,19.393124,14.29389305344634,2.7774296,22.450666,382.4053849142254,11.027141,18.291586,4.1590805
Gaia EDR3 5940953455664741120,5940953455664741120,250.2845746391498,-48.77355669004376,0.6073375859837159,0.24579298,2.4709313,-3.8715915273537465,0.28697258,-3.9695101927888228,0.19491784,515.1179228078794,1.0906503,18.9076,186.34246391715354,8.283519,19.662762,583.9460040679081,14.289213,17.831964,1.8307972
Gaia EDR3 5940953455664748544,5940953455664748544,250.28652284249102,-48.771294052994016,1.0997592380766696,0.47006467,2.3395915,1.1077588880396478,0.5827938,-4.20674182116075,0.3832651,298.5967933988514,0.9664089,19.499655,21.40263756391328,3.1550338,22.012375,613.9946774683618,15.48811,17.777485,4.23489
Gaia EDR3 5940953455664756608,5940953455664756608,250.27939061056554,-48.77323688555749,0.06741447730953766,0.68684095,0.09815151,-1.365709831714655,0.7422081,-1.7862885850533257,0.50071925,162.86397171896073,0.8990579,20.157804,,,,,,,
Gaia EDR3 5940953455664760064,5940953455664760064,250.28499657137908,-48.76984379722961,0.3852955168451817,0.10048721,3.834274,-2.3274110380893918,0.12326517,-0.19012043857025368,0.08287671,1976.1929470509465,1.4636427,17.447794,561.0595886911583,6.910657,18.46602,2095.661618610275,7.117795,16.444593,2.0214272
Gaia EDR3 5940953455664762496,5940953455664762496,250.2803014676819,-48.772071613360495,0.7803734268834037,0.11915668,6.549137,1.203500631357981,0.14308305,-4.127397853021524,0.099560745,1600.3511115878816,3.559327,17.676828,333.49023431780455,7.985544,19.030834,2311.87353086039,66.59402,16.337986,2.6928482
Gaia EDR3 5940953455666200320,5940953455666200320,250.2964984248544,-48.786399338470865,1.7185685047592314,0.60689616,2.831734,-1.9488672121141026,0.67188543,-1.958598988992855,0.47432727,205.06811714698753,2.0464995,19.907621,230.97783604917467,24.825731,19.429617,402.9727247985556,17.190313,18.234707,1.19491
Gaia EDR3 5940953455666201728,5940953455666201728,250.29480250797693,-48.786304971766135,1.2853541131719308,0.98559415,1.3041414,-5.414259802322182,1.240809,-5.310611177820702,0.74687916,149.29106177264094,0.7996063,20.252283,67.87597146689332,6.683581,20.759253,246.95753892106256,10.071575,18.76634,1.9929123
Gaia EDR3 5940953455666211200,5940953455666211200,250.29062423222462,-48.780547808239,1.104636347983235,1.0518626,1.0501717,-7.2066164393577585,1.8880751,-5.233006319510823,1.1591748,159.23866850268882,1.0065613,20.182245,46.69092787201737,8.538982,21.16546,239.40114362038383,11.258673,18.80008,2.3653812
Gaia EDR3 5940953455666213376,5940953455666213376,250.28575460955363,-48.780141639891106,0.08689398213855676,0.7879052,0.11028482,-2.500264957667836,0.85473543,1.7118585148460588,0.56210995,158.59347323390145,0.72794247,20.186653,32.110827726543356,8.374777,21.571913,210.2486137691875,6.9636693,18.941063,2.6308498
Gaia EDR3 5940953455666213632,5940953455666213632,250.2902355318091,-48.77726204965364,2.391905463355841,1.0379175,2.3045235,-2.119020878173231,1.630598,-2.1675964641659706,0.9670186,154.12863706552668,1.2831687,20.217659,100.54614827524098,23.146511,20.332628,484.6275515979243,51.51138,18.034376,2.298252
