designation,source_id,ra,dec,parallax,parallax_error,parallax_over_error,pmra,pmra_error,pmdec,pmdec_error,phot_g_mean_flux,phot_g_mean_flux_error,phot_g_mean_mag,phot_bp_mean_flux,phot_bp_mean_flux_error,phot_bp_mean_mag,phot_rp_mean_flux,phot_rp_mean_flux_error,phot_rp_mean_mag,bp_rp
Gaia EDR3 2006217127063621120,2006217127063621120,334.8004274514163,56.12966457951735,0.2687259500591923,0.048212484,5.573784,-5.673904957977523,0.054031663,-4.3710185169673865,0.053261843,3536.2619425999496,2.0348566,16.816006,1468.0783627517649,6.471089,17.421669,3002.783164098409,11.667628,16.054085,1.3675842
Gaia EDR3 2006217127063622144,2006217127063622144,334.80740024896136,56.1301378011927,0.1641608544503825,0.054068334,3.0361738,-2.9201434297256976,0.058097098,-2.3257232533320407,0.061393946,3366.5559081082097,1.8233976,16.869402,1401.7802766996672,7.7373,17.471842,2970.740679044041,11.918165,16.065733,1.4061089
Gaia EDR3 2006217127063623936,2006217127063623936,334.8042563435191,56.123663872354385,0.3034280381417262,0.059592187,5.0917416,-2.971027211021796,0.068491906,-3.600881402454908,0.0684815,2508.297469912345,1.7941853,17.18892,993.4646665935367,6.1399364,17.845661,2191.1667578257175,8.347229,16.396208,1.4494534
Gaia EDR3 2006217157115319168,2006217157115319168,334.8261815424664,56.1283374714925,0.3816993463454723,0.050557043,7.549875,-3.839433675377168,0.056133002,-4.961069815516716,0.056569993,3397.364173611612,1.7910486,16.859512,1402.4831038097611,7.390714,17.471298,2871.8240735338886,8.650203,16.1025,1.3687973
Gaia EDR3 2006217157116200576,2006217157116200576,334.82295229760354,56.11683962711552,0.32714427125386836,0.1762879,1.8557386,-2.6993839270780944,0.21607213,-1.7632515767165313,0.19669822,507.40028260570836,0.97405475,18.92399,164.83009571400103,3.964809,19.795952,470.8828380540888,5.292757,18.065613,1.730339
Gaia EDR3 2006217157116415104,2006217157116415104,334.8315406480315,56.12074429167603,1.2196955577429163,0.18146,6.721567,-8.197743349285833,0.20355347,-11.79396163563483,0.20345938,467.28133492310826,0.91013527,19.01342,103.08509677022418,4.7823076,20.305553,559.1873968067624,7.5028696,17.879002,2.4265518
Gaia EDR3 2006217157119630080,2006217157119630080,334.8261586399204,56.12004985452289,0.43872947077636615,0.2654039,1.6530634,-3.29949960551157,0.30744776,-2.7535675593908504,0.28628224,278.73425386447616,1.2193512,19.57439,63.433231510560965,4.802545,20.83275,320.7713711366439,6.774347,18.482407,2.3503437
Gaia EDR3 2006217161408469760,2006217161408469760,334.8160835697589,56.12541258149924,0.5121234923854733,0.13326468,3.8429048,-2.491115669190372,0.14699647,-3.713685995058316,0.1530385,698.1467760055526,1.0472685,18.5775,246.2385121292138,4.652039,19.360153,658.9556096908859,7.4062257,17.700754,1.659399
Gaia EDR3 2006217161408473216,2006217161408473216,334.8179011484747,56.124928389180475,1.1605209850166835,0.37837914,3.067085,-1.138322816779647,0.40970814,-1.926651629942231,0.4023289,177.181420167501,0.693638,20.066322,68.26164564110726,7.207858,20.7531,183.3192624418368,7.051562,19.089876,1.6632233
Gaia EDR3 2006217161408484096,2006217161408484096,334.841580245211,56.12744021678354,0.43614310187019206,0.25243297,1.7277582,-2.931772568151774,0.2970342,-3.8603320483797354,0.28428936,312.417928908273,0.7639138,19.450527,96.06127432182852,5.2825665,20.382172,319.78468542384286,8.53927,18.485752,1.8964195
Gaia EDR3 2006217161408484224,2006217161408484224,334.8387273563076,56.12571686822271,1.4279535419061555,0.65249676,2.1884453,-3.1004507308900084,0.8068526,0.2890031879568161,0.7083325,149.4894776433553,1.1695874,20.250841,48.508163004376485,5.1423793,21.124004,203.57955644300475,5.938918,18.97606,2.1479435
Gaia EDR3 2006217161408488960,2006217161408488960,334.82540744869954,56.11500706549066,0.10039021173444226,0.31820747,0.31548664,-1.5045359024402964,0.40435603,-2.3150513727627087,0.35309583,236.50091168984497,0.7706022,19.752785,68.99924780525178,4.346882,20.741432,231.98672572703725,4.656047,18.834238,1.9071941
Gaia EDR3 2006217161409046144,2006217161409046144,334.81493272935586,56.12470480507105,0.029397455765925506,0.5026092,0.05848969,-2.5170667865797394,0.5530527,-2.1455043604026716,0.54223573,152.9761662325298,0.7286345,20.225807,55.575827759157434,8.120742,20.976328,150.95894076044254,8.250345,19.300749,1.6755791
Gaia EDR3 2006217161409048320,2006217161409048320,334.83548963062054,56.13293459830034,0.536630685098676,0.45140958,1.1887889,-6.498620414564228,0.53604525,-2.573158014405154,0.4939664,160.98391471485186,0.7657603,20.17041,57.483430289310476,4.9157786,20.939686,154.12657992307356,5.3227353,19.278202,1.6614838
Gaia EDR3 2006217161409204224,2006217161409204224,334.8201940850178,56.12162375771156,0.8346051385512699,1.1748549,0.71039,-4.602502697821368,1.0531167,-2.300873375149257,1.8055509,101.6570169908101,1.5086329,20.669523,54.942066503573464,12.522009,20.98878,210.7419456732267,17.681877,18.938519,2.0502605
Gaia EDR3 2006217161409204352,2006217161409204352,334.8206214131659,56.12165589000258,0.14365909477788855,0.6273512,0.22899309,-1.4826431452243523,0.73456633,-4.735526635736501,0.93347925,119.08618865612308,0.88773924,20.497713,53.590214263658744,7.2415395,21.01583,213.77777935857043,9.500708,18.922989,2.0928402
Gaia EDR3 2006217161410077312,2006217161410077312,334.83421887369286,56.12304959855533,0.77236297071243,0.460334,1.6778316,-1.4664195976922174,0.5178461,-0.874878033429618,0.5004566,154.20665326466204,0.83285177,20.21711,45.10328519014653,4.537434,21.203022,158.95948383706616,6.382672,19.244678,1.9583435
Gaia EDR3 2006217161410564096,2006217161410564096,334.82473880804173,56.119895439770936,0.20237049821595146,1.1091176,0.18246081,-4.699930275731038,1.4759419,-0.1769302809649062,1.2955843,94.12988458296626,0.9401639,20.753048,34.060773888601474,10.9814625,21.507906,82.071976045236,8.925655,19.962408,1.5454979
Gaia EDR3 2006217161410573440,2006217161410573440,334.8347353266926,56.12008549530727,1.0579447327724787,0.9513907,1.1119982,-3.869387644570994,1.167644,1.5780516379871876,1.2388368,102.76302182721437,1.0770657,20.657774,40.690296126979106,7.7073574,21.314816,79.471353565773,9.184765,19.99737,1.3174458
Gaia EDR3 2006217161410574848,2006217161410574848,334.8364668833952,56.13430410653629,1.3939361856978232,0.9923533,1.4046773,-4.499086743707525,1.3515868,-2.418009881940803,1.0691568,93.84440223591442,1.380934,20.756346,39.51406840751436,7.812248,21.346663,131.268341929761,10.510014,19.452496,1.894167
Gaia EDR3 2006217161423363840,2006217161423363840,334.81793075000763,56.12597744809934,0.2647583547927329,0.03681985,7.190642,-3.5432160168658124,0.039317273,-2.8418302551730927,0.040326286,6216.93953099505,2.480361,16.203424,2992.814552755071,8.737767,16.648342,4657.398803564797,7.752153,15.577537,1.0708055
Gaia EDR3 2006217161423364608,2006217161423364608,334.82962411173406,56.13020172693267,0.10306709018635299,0.11453362,0.89988506,-2.447216687979467,0.1290194,-1.1145801466133358,0.13047637,823.7526056694242,1.0454265,18.397875,238.7180908081521,5.26311,19.39383,862.1302786785652,7.6283545,17.408964,1.9848652
Gaia EDR3 2006217161423366272,2006217161423366272,334.83554466295544,56.1292611828583,0.7323036166447062,0.06239471,11.7366295,3.6045646220200536,0.0702122,-0.9189900261152806,0.07169971,2130.211138978043,1.5049067,17.36631,802.4716497506388,6.1493926,18.077469,1874.958080004755,5.840457,16.565416,1.5120525
Gaia EDR3 2006217161423366528,2006217161423366528,334.83069643094154,56.12622152608673,0.2619086541337773,0.07438805,3.520843,-2.0605142760673063,0.08209134,-3.2775763658123216,0.083304934,1669.858279710559,1.3640196,17.630669,595.3625284765079,7.554709,18.401588,1540.1739898778294,6.757753,16.77897,1.6226177
Gaia EDR3 2006217161427966848,2006217161427966848,334.8340587877354,56.12927423978229,0.7353253296249666,0.6987888,1.0522854,-1.8794046876953197,0.8673213,-0.36674215058503423,0.9629059,112.58135200898022,1.0287118,20.5587,46.31788880759181,6.4996505,21.17417,141.13473878955844,10.152118,19.37381,1.8003597
Gaia EDR3 2006217191476293632,2006217191476293632,334.8502678183174,56.13187725536794,0.28268314479876344,0.11216314,2.5202856,-2.680311461424239,0.12920202,-2.3721537317031096,0.1270345,860.4406398594939,1.1497303,18.350565,309.62753715147045,5.7237,19.111443,822.9728435863153,6.6156673,17.459433,1.65201
Gaia EDR3 2006217191476297344,2006217191476297344,334.85285623127834,56.138638922993465,0.04080527557564674,0.12064565,0.33822417,-4.121390886057954,0.14204557,-3.532042914137696,0.1338939,928.4622454740509,2.569733,18.267956,221.53411893296172,8.6426935,19.474941,1029.6622646873436,8.983184,17.216158,2.2587833
Gaia EDR3 2006217191484310016,2006217191484310016,334.84321474900236,56.1284946613653,0.5411380897501277,0.13503182,4.0074854,-5.191057511714757,0.15104075,-2.2272255557371,0.15863784,641.9368287240798,0.931813,18.668636,200.36456123623614,5.130131,19.58399,646.6608944424464,6.2474732,17.721205,1.8627853
Gaia EDR3 2006217191484837248,2006217191484837248,334.85231575271996,56.1369552625528,0.35192889418415346,0.19902293,1.768283,-3.738619295459117,0.25037083,-2.3206685519020143,0.22342697,427.1336776925118,1.455905,19.110958,118.94977748989177,6.601079,20.150133,458.93608743429235,6.620745,18.093515,2.0566177
Gaia EDR3 2006217195768212224,2006217195768212224,334.8422130093016,56.137143527200855,0.46918164681325786,0.20373361,2.3029172,-2.3476942788478206,0.26645854,-2.7138279792926445,0.22154634,437.1459597660779,1.1000825,19.0858,,,,,,,
